producto_inei,unidad_medida,año_mes,precio_soles
CAMOTE AMARILLO,KILOGRAMO,2026-03,3.94
CAMOTE AMARILLO,KILOGRAMO,2026-04,4.03
CAMOTE AMARILLO,KILOGRAMO,2026-05,3.79
CAMOTE AMARILLO,KILOGRAMO,2026-06,3.57
CAMOTE AMARILLO,KILOGRAMO,2026-07,3.55
CAMOTE AMARILLO,KILOGRAMO,2026-08,3.35
CEBOLLA CABEZA,KILOGRAMO,2023-08,7.88
CEBOLLA CABEZA,KILOGRAMO,2023-09,6.17
CEBOLLA CABEZA,KILOGRAMO,2023-10,3.71
CEBOLLA CABEZA,KILOGRAMO,2023-11,2.91
CEBOLLA CABEZA,KILOGRAMO,2023-12,2.73
CEBOLLA CABEZA,KILOGRAMO,2024-01,2.71
CEBOLLA CABEZA,KILOGRAMO,2024-02,2.98
CEBOLLA CABEZA,KILOGRAMO,2024-03,3.97
CEBOLLA CABEZA,KILOGRAMO,2024-04,4.53
CEBOLLA CABEZA,KILOGRAMO,2024-05,3.98
CEBOLLA CABEZA,KILOGRAMO,2024-06,3.88
CEBOLLA CABEZA,KILOGRAMO,2024-07,3.54
CEBOLLA CABEZA,KILOGRAMO,2024-08,3.25
CEBOLLA CABEZA,KILOGRAMO,2024-09,2.91
CEBOLLA CABEZA,KILOGRAMO,2024-10,2.76
CEBOLLA CABEZA,KILOGRAMO,2024-11,2.75
CEBOLLA CABEZA,KILOGRAMO,2024-12,2.92
CEBOLLA CABEZA,KILOGRAMO,2025-01,2.86
CEBOLLA CABEZA,KILOGRAMO,2025-02,2.99
CEBOLLA CABEZA,KILOGRAMO,2025-03,3.25
CEBOLLA CABEZA,KILOGRAMO,2025-04,3.18
CEBOLLA CABEZA,KILOGRAMO,2025-05,3.16
CEBOLLA CABEZA,KILOGRAMO,2025-06,3.03
CEBOLLA CABEZA,KILOGRAMO,2025-07,3.03
CEBOLLA CABEZA,KILOGRAMO,2025-08,3.11
CEBOLLA CABEZA,KILOGRAMO,2025-09,3.73
CEBOLLA CABEZA,KILOGRAMO,2025-10,3.51
CEBOLLA CABEZA,KILOGRAMO,2025-11,3.26
CEBOLLA CABEZA,KILOGRAMO,2025-12,3.27
CEBOLLA CABEZA,KILOGRAMO,2026-01,3.23
CEBOLLA CABEZA,KILOGRAMO,2026-02,3.32
CEBOLLA CABEZA,KILOGRAMO,2026-03,3.6
CEBOLLA CABEZA,KILOGRAMO,2026-04,4.06
CEBOLLA CABEZA,KILOGRAMO,2026-05,3.93
CEBOLLA CABEZA,KILOGRAMO,2026-06,3.75
CEBOLLA CABEZA,KILOGRAMO,2026-07,3.5
CEBOLLA CABEZA,KILOGRAMO,2026-08,3.59
CEBOLLA CHINA,KILOGRAMO,2023-08,4.44
CEBOLLA CHINA,KILOGRAMO,2023-09,5.22
CEBOLLA CHINA,KILOGRAMO,2023-10,6.66
CEBOLLA CHINA,KILOGRAMO,2023-11,5.45
CEBOLLA CHINA,KILOGRAMO,2023-12,5.29
