producto_inei,unidad_medida,año_mes,precio_soles
VAINITA AMERICANA,KILOGRAMO,2025-09,7.19
VAINITA AMERICANA,KILOGRAMO,2025-10,6.22
VAINITA AMERICANA,KILOGRAMO,2025-11,5.91
VAINITA AMERICANA,KILOGRAMO,2025-12,5.99
VAINITA AMERICANA,KILOGRAMO,2026-01,6.01
VAINITA AMERICANA,KILOGRAMO,2026-02,6.13
VAINITA AMERICANA,KILOGRAMO,2026-03,7.92
VAINITA AMERICANA,KILOGRAMO,2026-04,7.34
VAINITA AMERICANA,KILOGRAMO,2026-05,6.71
VAINITA AMERICANA,KILOGRAMO,2026-06,6.3
VAINITA AMERICANA,KILOGRAMO,2026-07,6.74
VAINITA AMERICANA,KILOGRAMO,2026-08,6.89
ZANAHORIA,KILOGRAMO,2023-08,3.01
ZANAHORIA,KILOGRAMO,2023-09,2.81
ZANAHORIA,KILOGRAMO,2023-10,2.92
ZANAHORIA,KILOGRAMO,2023-11,3.23
ZANAHORIA,KILOGRAMO,2023-12,2.91
ZANAHORIA,KILOGRAMO,2024-01,2.64
ZANAHORIA,KILOGRAMO,2024-02,2.45
ZANAHORIA,KILOGRAMO,2024-03,2.36
ZANAHORIA,KILOGRAMO,2024-04,2.32
ZANAHORIA,KILOGRAMO,2024-05,2.45
ZANAHORIA,KILOGRAMO,2024-06,2.58
ZANAHORIA,KILOGRAMO,2024-07,2.66
ZANAHORIA,KILOGRAMO,2024-08,2.65
ZANAHORIA,KILOGRAMO,2024-09,2.42
ZANAHORIA,KILOGRAMO,2024-10,2.33
ZANAHORIA,KILOGRAMO,2024-11,2.25
ZANAHORIA,KILOGRAMO,2024-12,2.25
ZANAHORIA,KILOGRAMO,2025-01,2.37
ZANAHORIA,KILOGRAMO,2025-02,2.44
ZANAHORIA,KILOGRAMO,2025-03,2.61
ZANAHORIA,KILOGRAMO,2025-04,2.73
ZANAHORIA,KILOGRAMO,2025-05,3.13
ZANAHORIA,KILOGRAMO,2025-06,3.5
ZANAHORIA,KILOGRAMO,2025-07,3.34
ZANAHORIA,KILOGRAMO,2025-08,3.18
ZANAHORIA,KILOGRAMO,2025-09,3.15
ZANAHORIA,KILOGRAMO,2025-10,2.91
ZANAHORIA,KILOGRAMO,2025-11,3.12
ZANAHORIA,KILOGRAMO,2025-12,3.23
ZANAHORIA,KILOGRAMO,2026-01,3.42
ZANAHORIA,KILOGRAMO,2026-02,3.21
ZANAHORIA,KILOGRAMO,2026-03,3.35
ZANAHORIA,KILOGRAMO,2026-04,3.4
ZANAHORIA,KILOGRAMO,2026-05,3.33
ZANAHORIA,KILOGRAMO,2026-06,3.37
ZANAHORIA,KILOGRAMO,2026-07,3.24
ZANAHORIA,KILOGRAMO,2026-08,3.16
ZAPALLO MACRE,KILOGRAMO,2023-08,4.2
ZAPALLO MACRE,KILOGRAMO,2023-09,4.14
ZAPALLO MACRE,KILOGRAMO,2023-10,3.8
ZAPALLO MACRE,KILOGRAMO,2023-11,3.49
ZAPALLO MACRE,KILOGRAMO,2023-12,3.26
ZAPALLO MACRE,KILOGRAMO,2024-01,3.26
ZAPALLO MACRE,KILOGRAMO,2024-02,3.1
ZAPALLO MACRE,KILOGRAMO,2024-03,3.11
ZAPALLO MACRE,KILOGRAMO,2024-04,3.19
ZAPALLO MACRE,KILOGRAMO,2024-05,3.52
ZAPALLO MACRE,KILOGRAMO,2024-06,3.45
ZAPALLO MACRE,KILOGRAMO,2024-07,3.13
ZAPALLO MACRE,KILOGRAMO,2024-08,2.99
ZAPALLO MACRE,KILOGRAMO,2024-09,3.07
ZAPALLO MACRE,KILOGRAMO,2024-10,3.13
ZAPALLO MACRE,KILOGRAMO,2024-11,3.06
ZAPALLO MACRE,KILOGRAMO,2024-12,2.98
ZAPALLO MACRE,KILOGRAMO,2025-01,3.05
ZAPALLO MACRE,KILOGRAMO,2025-02,3.14
ZAPALLO MACRE,KILOGRAMO,2025-03,3.27
ZAPALLO MACRE,KILOGRAMO,2025-04,3.36
ZAPALLO MACRE,KILOGRAMO,2025-05,3.35
ZAPALLO MACRE,KILOGRAMO,2025-06,3.28
ZAPALLO MACRE,KILOGRAMO,2025-07,3.16
ZAPALLO MACRE,KILOGRAMO,2025-08,3.21
ZAPALLO MACRE,KILOGRAMO,2025-09,3.23
ZAPALLO MACRE,KILOGRAMO,2025-10,3.29
ZAPALLO MACRE,KILOGRAMO,2025-11,3.34
ZAPALLO MACRE,KILOGRAMO,2025-12,3.38
ZAPALLO MACRE,KILOGRAMO,2026-01,3.49
ZAPALLO MACRE,KILOGRAMO,2026-02,3.4
ZAPALLO MACRE,KILOGRAMO,2026-03,3.4
ZAPALLO MACRE,KILOGRAMO,2026-04,3.48
ZAPALLO MACRE,KILOGRAMO,2026-05,3.45
ZAPALLO MACRE,KILOGRAMO,2026-06,3.52
ZAPALLO MACRE,KILOGRAMO,2026-07,3.58
ZAPALLO MACRE,KILOGRAMO,2026-08,3.63
